USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,LISTINGS_CNT,LISTINGS_CONV_7D,LISTINGS_CONV_14D
1314978087,CONTROL,Collectibles,1) 0-10,Helix,29,0,1
2532752563,TREATMENT,Collectibles,1) 0-10,Auto Relist,14,0,0
83962093,TREATMENT,Electronics,2) 10-20,Auto Relist,2,0,0
1489590155,CONTROL,Collectibles,1) 0-10,Shelby/Magi Native,9,1,1
2368869330,TREATMENT,Collectibles,2) 10-20,Auto Relist,6,0,0
1266665296,CONTROL,Collectibles,5) 100-200,Shelby/Magi Native,7,2,2
1048499096,TREATMENT,Collectibles,1) 0-10,Auto Relist,5,0,0
756266655,TREATMENT,Fashion,2) 10-20,Auto Relist,12,1,1
123934962,TREATMENT,Lifestyle,4) 50-100,Others,4,0,2
1126959020,TREATMENT,Home & Garden,1) 0-10,Helix,7,0,0
2439167592,CONTROL,Parts & Accessories,6) 200-500,Shelby/Magi Native,5,0,0
1723087454,CONTROL,Media,1) 0-10,Helix,2,1,2
2482114884,TREATMENT,Collectibles,3) 20-50,Shelby/Magi Native,3,1,1
2793167232,TREATMENT,Electronics,4) 50-100,Auto Relist,1,0,0
1719650703,CONTROL,Fashion,3) 20-50,Shelby/Magi Native,8,0,0
1201844102,TREATMENT,Collectibles,4) 50-100,Shelby/Magi Native,26,0,0
286876758,CONTROL,Home & Garden,1) 0-10,BLING/Magical Bling,11,1,1
128767285,TREATMENT,Media,1) 0-10,Helix,16,1,1
2647122221,TREATMENT,Electronics,3) 20-50,Shelby/Magi Native,3,0,0
1964685529,CONTROL,Business & Industrial,2) 10-20,3rd party API,1,0,0
2432255721,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,2,0,0
2676616732,TREATMENT,Collectibles,3) 20-50,Auto Relist,1,0,0
194147827,CONTROL,Parts & Accessories,3) 20-50,Shelby/Magi Native,1,1,1
1697905585,CONTROL,Collectibles,1) 0-10,BLING/Magical Bling,13,0,2
1391031578,CONTROL,Fashion,2) 10-20,BLING/Magical Bling,26,4,4
1908690726,CONTROL,Collectibles,3) 20-50,Auto Relist,1,0,0
2094336223,CONTROL,Electronics,2) 10-20,Shelby/Magi Native,6,2,3
2719249329,CONTROL,Home & Garden,3) 20-50,Shelby/Magi Native,1,0,1
2828549958,TREATMENT,Collectibles,2) 10-20,Others,1,0,0
139693888,TREATMENT,Collectibles,2) 10-20,Auto Relist,7,0,0
1337608052,CONTROL,Fashion,6) 200-500,BLING/Magical Bling,18,0,0
2832509149,CONTROL,Collectibles,3) 20-50,Shelby/Magi Native,3,2,2
2769512406,TREATMENT,Electronics,2) 10-20,Helix,1,0,0
1132813564,TREATMENT,Collectibles,1) 0-10,Auto Relist,7,0,0
2828709200,CONTROL,Collectibles,3) 20-50,Shelby/Magi Native,5,0,0
2474929439,TREATMENT,Collectibles,3) 20-50,Shelby/Magi Native,4,0,0
2829746455,CONTROL,Fashion,3) 20-50,Shelby/Magi Native,4,1,1
2313125383,CONTROL,Fashion,2) 10-20,Auto Relist,1,0,0
71774049,CONTROL,Collectibles,1) 0-10,Auto Relist,4,1,1
1024639810,TREATMENT,Fashion,4) 50-100,Shelby/Magi Native,3,0,0
58940694,CONTROL,Fashion,1) 0-10,Shelby/Magi Native,13,0,0
2792710034,TREATMENT,Collectibles,2) 10-20,Auto Relist,1,1,1
11889802,TREATMENT,Lifestyle,1) 0-10,Auto Relist,45,0,1
1002413463,CONTROL,Fashion,2) 10-20,Auto Relist,13,1,1
2212508165,CONTROL,Fashion,3) 20-50,Shelby/Magi Native,29,9,12
211721515,CONTROL,Fashion,2) 10-20,Helix,3,2,2
1044494204,CONTROL,Lifestyle,6) 200-500,Others,2,1,1
1283624554,TREATMENT,Collectibles,2) 10-20,Helix,15,4,11
843938128,CONTROL,Collectibles,3) 20-50,C2C BOLT,1,1,1
1936146081,CONTROL,Media,3) 20-50,BLING/Magical Bling,24,0,0
207373858,TREATMENT,Fashion,1) 0-10,Shelby/Magi Native,2,0,0
2297428972,TREATMENT,Lifestyle,2) 10-20,Auto Relist,1,0,0
2818306428,CONTROL,Collectibles,4) 50-100,Shelby/Magi Native,1,0,0
1967458748,CONTROL,Fashion,2) 10-20,Others,1,0,0
123335247,TREATMENT,Fashion,3) 20-50,Auto Relist,1,0,0
294993444,CONTROL,Home & Garden,5) 100-200,Auto Relist,2,0,0
13947238,TREATMENT,Collectibles,3) 20-50,Shelby/Magi Native,23,1,1
1006443184,TREATMENT,Fashion,3) 20-50,Helix,3,0,0
37714053,CONTROL,Electronics,6) 200-500,Helix,2,2,2
1024361565,CONTROL,Collectibles,4) 50-100,Shelby/Magi Native,8,3,5
186416871,CONTROL,Media,2) 10-20,Shelby/Magi Native,3,0,0
1705650273,CONTROL,Collectibles,4) 50-100,BLING/Magical Bling,7,0,0
180801991,TREATMENT,Electronics,1) 0-10,Shelby/Magi Native,3,0,0
1127544072,CONTROL,Fashion,2) 10-20,Shelby/Magi Native,2,0,0
205151232,CONTROL,Fashion,1) 0-10,Auto Relist,10,0,0
1085886080,TREATMENT,Home & Garden,1) 0-10,Shelby/Magi Native,6,1,2
98038249,TREATMENT,Collectibles,2) 10-20,BLING/Magical Bling,12,0,0
139913366,TREATMENT,Parts & Accessories,2) 10-20,Shelby/Magi Native,1,0,0
1119115024,TREATMENT,Fashion,2) 10-20,Shelby/Magi Native,31,0,0
1496716909,TREATMENT,Fashion,3) 20-50,Shelby/Magi Native,3,0,0
816761588,TREATMENT,Fashion,5) 100-200,Shelby/Magi Native,2,1,1
1064586385,TREATMENT,Fashion,3) 20-50,Shelby/Magi Native,6,0,0
1078643472,CONTROL,Collectibles,2) 10-20,Helix,8,8,8
1000478752,CONTROL,Parts & Accessories,2) 10-20,Helix,2,0,0
2487836234,TREATMENT,Home & Garden,2) 10-20,Shelby/Magi Native,4,2,2
45855798,TREATMENT,Media,1) 0-10,Auto Relist,24,0,1
1118269199,TREATMENT,Collectibles,3) 20-50,Helix,4,0,0
839891163,TREATMENT,Media,5) 100-200,Auto Relist,4,0,0
2581248677,TREATMENT,Fashion,3) 20-50,Shelby/Magi Native,1,0,0
1787906414,CONTROL,Collectibles,8) >750,Shelby/Magi Native,2,0,0
2795070997,TREATMENT,Home & Garden,3) 20-50,Native B2C BOLT,6,3,4
1287443763,TREATMENT,Fashion,2) 10-20,Shelby/Magi Native,1,1,1
1512101677,CONTROL,Fashion,3) 20-50,Auto Relist,22,0,0
1106665256,CONTROL,Collectibles,4) 50-100,Shelby/Magi Native,1,1,1
1619746910,TREATMENT,Home & Garden,1) 0-10,BLING/Magical Bling,30,0,0
1484082086,TREATMENT,Lifestyle,4) 50-100,Shelby/Magi Native,8,7,7
2835992135,TREATMENT,Collectibles,2) 10-20,Shelby/Magi Native,6,4,4
150996518,TREATMENT,Collectibles,3) 20-50,Helix,12,5,6
2203267380,CONTROL,Collectibles,2) 10-20,Shelby/Magi Native,4,2,2
147835739,CONTROL,Fashion,5) 100-200,Shelby/Magi Native,9,0,0
2689642155,CONTROL,Parts & Accessories,2) 10-20,BLING/Magical Bling,1,0,0
140747976,CONTROL,Media,2) 10-20,Helix,7,1,1
2629740516,CONTROL,Electronics,3) 20-50,Shelby/Magi Native,5,2,2
1319776895,TREATMENT,Collectibles,1) 0-10,Auto Relist,2,0,0
38477424,TREATMENT,Media,1) 0-10,Auto Relist,9,3,3
2084980649,CONTROL,Collectibles,8) >750,Shelby/Magi Native,2,2,2
932410054,TREATMENT,Fashion,1) 0-10,Auto Relist,27,0,0
2707430038,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,15,1,2
236400658,TREATMENT,Collectibles,3) 20-50,Auto Relist,1,0,0
2632138848,TREATMENT,Collectibles,2) 10-20,Auto Relist,13,0,0
163848979,TREATMENT,Collectibles,3) 20-50,Others,1,0,1
2046449100,TREATMENT,Fashion,5) 100-200,Shelby/Magi Native,2,0,0
1181666531,CONTROL,Media,2) 10-20,Auto Relist,9,1,1
1165433570,CONTROL,Home & Garden,4) 50-100,Auto Relist,1,0,0
108028792,TREATMENT,Collectibles,4) 50-100,Helix,5,0,0
134083869,CONTROL,Fashion,1) 0-10,Helix,29,0,0
2829746860,TREATMENT,Collectibles,4) 50-100,Shelby/Magi Native,15,6,6
243305428,TREATMENT,Fashion,1) 0-10,Auto Relist,47,3,4
