USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,GMV_TOTAL,QTY_TOTAL
91326078,TREATMENT,Collectibles,03: 20-30,Magi Native,26.846184,1
2625184593,CONTROL,Fashion,06: 50-100,Magi Native,79.433438,1
48642706,CONTROL,Collectibles,04: 30-40,Shelby,35.094108,1
110625323,CONTROL,Media,02: 10-20,Magi Native,39.285455,2
2531553501,TREATMENT,Collectibles,02: 10-20,Shelby,39.554995,2
182912146,TREATMENT,Collectibles,02: 10-20,Shelby,16.091538,1
595289513,TREATMENT,Home & Garden,01: 0-10,BLING,47.398607,9
705780804,TREATMENT,Fashion,04: 30-40,Magi Native,39.945828,1
1196783688,CONTROL,Fashion,02: 10-20,Magi Native,63.611440,4
70880130,CONTROL,Media,01: 0-10,Magi Native,18.653993,2
61303493,CONTROL,Parts & Accessories,04: 30-40,C2C BOLT,31.522703,1
301895624,CONTROL,Electronics,05: 40-50,Shelby,41.657407,1
2451607452,CONTROL,Fashion,04: 30-40,C2C BOLT,35.619711,1
2451764406,CONTROL,Media,02: 10-20,Magi Native,290.685413,17
2490925645,TREATMENT,Fashion,06: 50-100,Shelby,98.355146,1
140425052,TREATMENT,Collectibles,07: 100-500,Helix,103.045142,1
758661803,TREATMENT,Collectibles,06: 50-100,Magi Native,323.448000,4
1178538942,CONTROL,Media,02: 10-20,Helix,33.584684,2
302109511,TREATMENT,Collectibles,06: 50-100,Helix,72.977955,1
2448042373,CONTROL,Home & Garden,04: 30-40,Native B2C BOLT,325.717525,10
911908539,CONTROL,Fashion,04: 30-40,Magi Native,37.614307,1
1703858083,CONTROL,Fashion,01: 0-10,Auto Relist,32.095476,4
